dataset,parameter_differences,test_f1_mean,test_f1_std,test_accuracy_mean,test_accuracy_std,test_loss_mean,test_loss_std,best_val_f1_mean,best_val_f1_std,best_val_accuracy_mean,best_val_accuracy_std,best_val_loss_mean,best_val_loss_std,best_epoch_first,single_class_only_first
EDT,"ts_window: 10, text_window: 3, ts_encoder: {'name': 'TimeSeriesTransformerModel', 'ts_window': 10, 'context_length': 1, 'prediction_length': 0, 'lags_sequence': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'num_features': 3}",0.3333333333333333,5.551115123125783e-17,0.5,0.0,0.08345573059912885,0.00011882692522187973,0.4613090609456299,0.22166046236009299,0.5726072607260726,0.12575946457595807,0.08962998109774885,0.007140368182703187,1,True
EDT,"ts_window: 10, text_window: 4, ts_encoder: {'name': 'TimeSeriesTransformerModel', 'ts_window': 10, 'context_length': 1, 'prediction_length': 0, 'lags_sequence': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'num_features': 3}",0.6708759705506163,0.03419327246504994,0.6778820816864295,0.025152071374405324,0.08022417362356034,0.005284306013109449,0.6489841123682548,0.007262204577974465,0.657420211914594,0.003633887711848219,0.08229204023749516,0.0028557154086621276,4,False
EDT,"ts_window: 10, text_window: 5, ts_encoder: {'name': 'TimeSeriesTransformerModel', 'ts_window': 10, 'context_length': 1, 'prediction_length': 0, 'lags_sequence': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'num_features': 3}",0.6146102666190534,0.0018844791979724645,0.6357539315448658,0.004806801501116205,0.07826643737306978,0.002591028733779479,0.6707733228590834,0.0416643810744111,0.6770431540313719,0.03852052738983157,0.08201483336676209,0.0012524166213854716,8,False
EDT,"ts_window: 10, text_window: 6, ts_encoder: {'name': 'TimeSeriesTransformerModel', 'ts_window': 10, 'context_length': 1, 'prediction_length': 0, 'lags_sequence': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'num_features': 3}",0.5470179875659328,0.1949837604126764,0.6007506045409546,0.12435719436467534,0.08502798936712375,0.00548640128425452,0.5481003922390824,0.18648526342725075,0.6123260092332258,0.09800518206515046,0.08742788770999915,0.008489743625574237,1,False
EDT,"ts_window: 10, text_window: 7, ts_encoder: {'name': 'TimeSeriesTransformerModel', 'ts_window': 10, 'context_length': 1, 'prediction_length': 0, 'lags_sequence': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'num_features': 3}",0.3333333333333333,0.0,0.5,0.0,0.08614263948458288,0.00795981425760942,0.3333333333333333,0.0,0.5,0.0,0.10294643295635005,0.0042603047689458795,1,True
EDT,"ts_window: 3, text_window: 3, ts_encoder: {'name': 'TimeSeriesTransformerModel', 'ts_window': 3, 'context_length': 1, 'prediction_length': 0, 'lags_sequence': [1, 2], 'num_features': 3}",0.3333333333333333,0.0,0.5,0.0,0.0840267284663518,0.0012009896019594597,0.3333333333333333,0.0,0.5,0.0,0.09372332050838078,0.009957670068161546,1,True
EDT,"ts_window: 3, text_window: 4, ts_encoder: {'name': 'TimeSeriesTransformerModel', 'ts_window': 3, 'context_length': 1, 'prediction_length': 0, 'lags_sequence': [1, 2], 'num_features': 3}",0.4471698714328331,0.19717066774608394,0.5606060606060606,0.10497277621629553,0.09189311948022567,0.01535313327568714,0.5671561124028933,0.20256941002539045,0.6243894389438944,0.10777855707101805,0.08987691389368906,0.011996550856468675,6,False
EDT,"ts_window: 3, text_window: 5, ts_encoder: {'name': 'TimeSeriesTransformerModel', 'ts_window': 3, 'context_length': 1, 'prediction_length': 0, 'lags_sequence': [1, 2], 'num_features': 3}",0.4072576115043254,0.12804060570501313,0.531986531986532,0.05540229855860041,0.09193939304710612,0.018677562670661313,0.6156662497101627,0.08855296022154323,0.6332674335010784,0.07715613514613891,0.0795127007255066,0.00472331989820317,6,True
EDT,"ts_window: 3, text_window: 6, ts_encoder: {'name': 'TimeSeriesTransformerModel', 'ts_window': 3, 'context_length': 1, 'prediction_length': 0, 'lags_sequence': [1, 2], 'num_features': 3}",0.516788100853549,0.15965065404882064,0.5901481204879263,0.07858859578444839,0.08282028893669398,0.0008167934513344673,0.543591049043436,0.1941984626516243,0.6115699032365699,0.10890230839687874,0.09015412616132151,0.013062099030743865,1,True
EDT,"ts_window: 3, text_window: 7, ts_encoder: {'name': 'TimeSeriesTransformerModel', 'ts_window': 3, 'context_length': 1, 'prediction_length': 0, 'lags_sequence': [1, 2], 'num_features': 3}",0.41971149893855203,0.1670103380423287,0.5300559552358114,0.09200802692626615,0.09543373149575496,0.010716584651663898,0.5454813384879963,0.16646102092339746,0.6052365899488201,0.08882899521908753,0.09002827721854235,0.012020433536206071,6,False
