dataset,parameter_differences,test_f1_mean,test_f1_std,test_accuracy_mean,test_accuracy_std,test_loss_mean,test_loss_std,best_val_f1_mean,best_val_f1_std,best_val_accuracy_mean,best_val_accuracy_std,best_val_loss_mean,best_val_loss_std,best_epoch_first,single_class_only_first
EDT,projection_dim: 400,0.3469948310504079,0.023662408153459415,0.5063492063492063,0.010997147984564285,0.09966400431218124,0.008320480884076168,0.6006013094682517,0.23148481822316544,0.6563684146192398,0.1354538398183986,0.08770761661553132,0.012829878903218907,4,False
EDT,projection_dim: 500,0.3333333333333333,0.0,0.5,0.0,0.08333334059469283,1.393638169756022e-08,0.6091261558442266,0.2388435904758464,0.665016501650165,0.14290848247267965,0.08467228412044177,0.011255521011306294,10,True
EDT,projection_dim: 600,0.7181719513069016,0.03709354845366338,0.7264197848356265,0.0313558562956153,0.07187669184339084,0.00519507714479429,0.7399666934701123,0.006740932152104867,0.7421799942195673,0.007469720882737471,0.07388033530903663,0.008724665740306472,6,False
EDT,projection_dim: 700,0.4526241448734571,0.20661774646361802,0.5682539682539683,0.11821934083406631,0.08081903115024676,0.02302939616790006,0.4712297445887799,0.23884359047584638,0.5825082508250825,0.14290848247267965,0.09252423071565928,0.014677450737780012,7,False
stock_emotion,projection_dim: 400,0.38295550237113857,0.08594811795524993,0.5225806451612903,0.0391108246870392,0.0889647505131121,0.01251205390065967,0.4476211668912316,0.10188885347328741,0.5245726495726496,0.05999100487763442,0.08952592232732319,0.014932780787140767,10,False
stock_emotion,projection_dim: 500,0.3333333333333333,0.0,0.5,0.0,0.09736369181704778,0.01145819928987993,0.3333333333333333,0.0,0.5,0.0,0.08900906731430282,0.00493771924370745,1,True
stock_emotion,projection_dim: 600,0.38920818652340694,0.09677808459065954,0.5268456375838926,0.04649800825688263,0.08910239996016182,0.01171419983363922,0.4080444910850532,0.12940352111827216,0.5387840670859538,0.06717597471703193,0.09635183839327173,0.014960584334875125,1,True
stock_emotion,projection_dim: 700,0.45392735509882937,0.1092371676670242,0.5578370554177006,0.053575764401664026,0.08516688932787225,0.00992291275040884,0.4435500142307934,0.10175921109501802,0.5523504273504273,0.04864338648646238,0.08504082616902209,0.005707361436087416,3,False
stock_net,projection_dim: 400,0.3333333333333333,0.0,0.5,0.0,0.09892339273132293,0.014303714464097133,0.3333333333333333,0.0,0.5,0.0,0.11122878502274812,0.0023028640966529664,1,True
stock_net,projection_dim: 500,0.3333333333333333,0.0,0.5,0.0,0.1171103791551375,0.015575437414771694,0.3333333333333333,0.0,0.5,0.0,0.10848128638722261,0.006565911231887208,1,True
stock_net,projection_dim: 600,0.3333333333333333,0.0,0.5,0.0,0.10863949532963009,0.006602773495416638,0.3333333333333333,0.0,0.5,0.0,0.10792911359176631,0.0034308958891635325,1,True
stock_net,projection_dim: 700,0.3333333333333333,0.0,0.5,0.0,0.09460980670983889,0.010364889985758711,0.395745966980241,0.10810185251062701,0.5307328605200946,0.053230875882731475,0.10280335376891563,0.01216120715500431,1,True
