dataset,parameter_differences,test_f1_mean,test_f1_std,test_accuracy_mean,test_accuracy_std,test_loss_mean,test_loss_std,best_val_f1_mean,best_val_f1_std,best_val_accuracy_mean,best_val_accuracy_std,best_val_loss_mean,best_val_loss_std,best_epoch_first,single_class_only_first
EDT,"projection_dim: 600, text_selection_method: ['embedding_diversity', 5]",0.4567359489151548,0.21373959997460562,0.5679611650485437,0.11771219080565187,0.077187964010465,0.010644094067342399,0.5721613025577783,0.20691074197709922,0.6277363763390778,0.11077300403274648,0.0862807204769858,0.0024252834730243665,1,True
stock_emotion,"projection_dim: 700, text_selection_method: ['vader_polarized', 5]",0.47354176013773525,0.2428481188745263,0.5876623376623377,0.15183562274142756,0.07046586394997048,0.024400071628396185,0.6315256916231108,0.0709610410062015,0.6663124055303636,0.050535484592075366,0.07723538449474042,0.005104730483712516,4,True
stock_net,"projection_dim: 700, text_selection_method: ['vader_neutral', 5]",0.3333333333333333,0.0,0.5,0.0,0.09812685490253119,0.012445772562537684,0.3333333333333333,0.0,0.5,0.0,0.09998306106578558,0.014831504315970327,1,True
