dataset,parameter_differences,test_f1_mean,test_f1_std,test_accuracy_mean,test_accuracy_std,test_loss_mean,test_loss_std,best_val_f1_mean,best_val_f1_std,best_val_accuracy_mean,best_val_accuracy_std,best_val_loss_mean,best_val_loss_std,best_epoch_first,single_class_only_first
EDT,text_aggregation_method: max,0.5957650083980851,0.22818524148520597,0.6515318198486515,0.13278008799282096,0.06600924325877892,0.029080516038637125,0.7384422798612095,0.0062683061495866586,0.7388796641865639,0.0059627901585703495,0.08494247741845457,0.0012154192487408135,8,True
EDT,text_aggregation_method: mean,0.3333333333333333,0.0,0.5,0.0,0.08333334059469283,1.393638169756022e-08,0.6091261558442266,0.2388435904758464,0.665016501650165,0.14290848247267965,0.08467228412044177,0.011255521011306294,10,True
stock_emotion,text_aggregation_method: max,0.3333333333333333,0.0,0.5,0.0,0.08562286286828623,0.012811507096510586,0.3333333333333333,0.0,0.5,0.0,0.10320430423795861,0.005646881696853619,1,True
stock_emotion,text_aggregation_method: mean,0.3333333333333333,0.0,0.5,0.0,0.09736369181704778,0.01145819928987993,0.3333333333333333,0.0,0.5,0.0,0.08900906731430282,0.00493771924370745,1,True
stock_net,text_aggregation_method: max,0.3333333333333333,0.0,0.5,0.0,0.11767251179974779,0.013030968417854899,0.3333333333333333,0.0,0.5,0.0,0.1105666400923732,0.001731622051674994,1,True
stock_net,text_aggregation_method: mean,0.3333333333333333,0.0,0.5,0.0,0.1171103791551375,0.015575437414771694,0.3333333333333333,0.0,0.5,0.0,0.10848128638722261,0.006565911231887208,1,True
