dataset,parameter_differences,test_f1_mean,test_f1_std,test_accuracy_mean,test_accuracy_std,test_loss_mean,test_loss_std,best_val_f1_mean,best_val_f1_std,best_val_accuracy_mean,best_val_accuracy_std,best_val_loss_mean,best_val_loss_std,best_epoch_first,single_class_only_first
EDT,"text_selection_method: ['TFIDF', 2]",0.3333333333333333,0.0,0.5,0.0,0.08494630783066222,0.004185712076967424,0.3333333333333333,0.0,0.5,0.0,0.09959401340516973,0.009108758437221455,1,True
EDT,"text_selection_method: ['TFIDF', 5]",0.3333333333333333,0.0,0.5,0.0,0.08333334059469283,1.393638169756022e-08,0.6091261558442266,0.2388435904758464,0.665016501650165,0.14290848247267965,0.08467228412044177,0.011255521011306294,10,True
EDT,"text_selection_method: ['embedding_diversity', 2]",0.41569673137238716,0.07607060179882942,0.5349201586825348,0.03252679543449761,0.08254223579798105,0.0005642564045154184,0.4373360170695409,0.09120023924989801,0.544983846775124,0.03963347678831675,0.08764553521628644,0.007713916197961981,1,True
EDT,"text_selection_method: ['embedding_diversity', 5]",0.5686688337100086,0.20615138258757185,0.6282256797108282,0.11514157506468133,0.08186256468794545,0.006784628728594725,0.7018846508343143,0.03379850308770673,0.7044062661717886,0.031335709628026384,0.08240643595869351,0.000669340006628564,6,False
EDT,"text_selection_method: ['vader_neutral', 5]",0.5715225169312912,0.20927402056931543,0.6297258297258298,0.11700357215755472,0.0867186453063702,0.015072578714965697,0.6790343805615505,0.029852716537929976,0.6806512297127947,0.0310007580653754,0.08275641918263905,0.004915649302938274,10,False
EDT,"text_selection_method: ['vader_polarized', 5]",0.5906203109987929,0.22355188384675992,0.6503221750746503,0.13079231309588032,0.08638649927076443,0.017105367996184777,0.7135509176613497,0.004002491986352551,0.7136883729909854,0.0038226790008466455,0.08361053174924422,0.002505371152317022,9,False
stock_emotion,"text_selection_method: ['TFIDF', 2]",0.3333333333333333,0.0,0.5,0.0,0.09846392783611209,0.0037971070848358806,0.3333333333333333,0.0,0.5,0.0,0.11010569107665148,0.002304237882535794,1,True
stock_emotion,"text_selection_method: ['TFIDF', 5]",0.3333333333333333,0.0,0.5,0.0,0.09736369181704778,0.01145819928987993,0.3333333333333333,0.0,0.5,0.0,0.08900906731430282,0.00493771924370745,1,True
stock_emotion,"text_selection_method: ['embedding_diversity', 2]",0.3333333333333333,0.0,0.5,0.0,0.08671092570007162,0.004995426938784925,0.3333333333333333,0.0,0.5,0.0,0.1071607607653056,0.0015834743586234463,1,True
stock_emotion,"text_selection_method: ['embedding_diversity', 5]",0.3333333333333333,0.0,0.5,0.0,0.09317176032961945,0.008720666843910341,0.3333333333333333,0.0,0.5,0.0,0.09771104460953706,0.010409465928265107,1,True
stock_emotion,"text_selection_method: ['vader_neutral', 5]",0.3333333333333333,0.0,0.5,0.0,0.09835262809249089,0.00579336042813673,0.380073497982577,0.08095633992662477,0.5209643605870021,0.0363113376848821,0.09897798589823344,0.013843661157235584,1,True
stock_emotion,"text_selection_method: ['vader_polarized', 5]",0.4607638888888889,0.22071619665895073,0.576923076923077,0.13323467750529822,0.08800753776838306,0.022484137969231734,0.3841616792436464,0.0880372775813481,0.5245726495726496,0.04256107753641471,0.09025571002644302,0.011742244655511005,1,True
stock_net,"text_selection_method: ['TFIDF', 2]",0.3333333333333333,0.0,0.5,0.0,0.105012918682107,0.0019973287505649444,0.3333333333333333,0.0,0.5,0.0,0.10808913522500281,0.007862737863126669,1,True
stock_net,"text_selection_method: ['TFIDF', 5]",0.3333333333333333,0.0,0.5,0.0,0.1171103791551375,0.015575437414771694,0.3333333333333333,0.0,0.5,0.0,0.10848128638722261,0.006565911231887208,1,True
stock_net,"text_selection_method: ['embedding_diversity', 2]",0.3333333333333333,0.0,0.5,0.0,0.10618877067708649,0.008743791746226888,0.33794694348327564,0.007991007186015576,0.5011778563015312,0.002040106958267243,0.10906208891885744,0.004720124016076786,1,True
stock_net,"text_selection_method: ['embedding_diversity', 5]",0.3333333333333333,0.0,0.5,0.0,0.09928882265827614,0.013767599710595725,0.3333333333333333,0.0,0.5,0.0,0.1108574816419436,0.0023577973512685,1,True
stock_net,"text_selection_method: ['vader_neutral', 5]",0.3333333333333333,0.0,0.5,0.0,0.10700760568777795,0.005821470908768163,0.39644743827402246,0.10931683643150744,0.5276774969915764,0.047938831015745045,0.10115086003918035,0.014248106421341842,6,True
stock_net,"text_selection_method: ['vader_polarized', 5]",0.3333333333333333,0.0,0.5,0.0,0.10994833375178903,0.01032079152119656,0.3333333333333333,0.0,0.5,0.0,0.10815077669192737,0.007779573945340283,1,True
