dataset,parameter_differences,test_f1_mean,test_f1_std,test_accuracy_mean,test_accuracy_std,test_loss_mean,test_loss_std,best_val_f1_mean,best_val_f1_std,best_val_accuracy_mean,best_val_accuracy_std,best_val_loss_mean,best_val_loss_std,best_epoch_first,single_class_only_first
EDT,"ts_window: 4, text_window: 4, ts_encoder: {'name': 'TimeSeriesTransformerModel', 'ts_window': 4, 'context_length': 1, 'prediction_length': 0, 'lags_sequence': [1, 2, 3], 'num_features': 3}, ts_overlap: middle",0.33333333333333326,0.0,0.5,0.0,0.09134782474526942,0.008093851230785775,0.3333333333333333,3.925231146709438e-17,0.5,0.0,0.09553149247867833,0.010668772030547799,1,True
EDT,"ts_window: 4, text_window: 4, ts_encoder: {'name': 'TimeSeriesTransformerModel', 'ts_window': 4, 'context_length': 1, 'prediction_length': 0, 'lags_sequence': [1, 2, 3], 'num_features': 3}, ts_overlap: start",0.4471698714328331,0.19717066774608394,0.5606060606060606,0.10497277621629553,0.08887166178534435,0.012904379807856914,0.649606465813453,0.07680223379340667,0.6587598759875988,0.06657309110272734,0.08193733740158637,0.003572952592691115,4,False
EDT,"ts_window: 4, text_window: 5, ts_encoder: {'name': 'TimeSeriesTransformerModel', 'ts_window': 4, 'context_length': 1, 'prediction_length': 0, 'lags_sequence': [1, 2, 3], 'num_features': 3}, ts_overlap: middle",0.3333333333333333,3.925231146709438e-17,0.5,0.0,0.09439001103405492,0.004991720547384029,0.4719404035662538,0.2059187956900549,0.5234484158198909,0.17005372394535934,0.09188665422960283,0.013895782321681099,1,True
EDT,"ts_window: 4, text_window: 5, ts_encoder: {'name': 'TimeSeriesTransformerModel', 'ts_window': 4, 'context_length': 1, 'prediction_length': 0, 'lags_sequence': [1, 2, 3], 'num_features': 3}, ts_overlap: start",0.5060373040741931,0.1496711593956155,0.5815993063892223,0.0708474277348823,0.07949789165414456,0.004746852510115823,0.5720043528837855,0.20845682085639183,0.6337699212309947,0.1177438382919666,0.08044750344223395,0.0033696166764429956,1,True
EDT,"ts_window: 6, text_window: 4, ts_encoder: {'name': 'TimeSeriesTransformerModel', 'ts_window': 6, 'context_length': 1, 'prediction_length': 0, 'lags_sequence': [1, 2, 3, 4, 5], 'num_features': 3}, ts_overlap: middle",0.569943098268573,0.2053708090077271,0.6287285223367698,0.11224836447436114,0.07997534768938164,0.0021043323945638677,0.5911370532813333,0.18019128841971113,0.6384298429842984,0.10357986444466795,0.08457988734310756,0.00419629359499286,4,True
EDT,"ts_window: 6, text_window: 4, ts_encoder: {'name': 'TimeSeriesTransformerModel', 'ts_window': 6, 'context_length': 1, 'prediction_length': 0, 'lags_sequence': [1, 2, 3, 4, 5], 'num_features': 3}, ts_overlap: start",0.44753730556684884,0.19780708233463423,0.5629251700680272,0.1089895916327355,0.08790978132018527,0.012393829018043529,0.5631027253668762,0.20393495952436205,0.6269132653061225,0.115084317436138,0.08152287650912048,0.002669944238349034,1,True
EDT,"ts_window: 6, text_window: 5, ts_encoder: {'name': 'TimeSeriesTransformerModel', 'ts_window': 6, 'context_length': 1, 'prediction_length': 0, 'lags_sequence': [1, 2, 3, 4, 5], 'num_features': 3}, ts_overlap: middle",0.4299176102718776,0.16728887486986174,0.5462046204620462,0.08002875018470061,0.0829843729923911,0.0034540047097951177,0.4419884075056489,0.18819610896661548,0.5555555555555555,0.09622504486493759,0.08315647480026625,0.0025126605723318376,1,True
EDT,"ts_window: 6, text_window: 5, ts_encoder: {'name': 'TimeSeriesTransformerModel', 'ts_window': 6, 'context_length': 1, 'prediction_length': 0, 'lags_sequence': [1, 2, 3, 4, 5], 'num_features': 3}, ts_overlap: start",0.4059044551798175,0.12569687020038237,0.5326797385620915,0.05660296756761039,0.08813757859570444,0.011181864251212313,0.5240252075673036,0.1789268405000439,0.5920192953532393,0.09442518814551798,0.0860303250268845,0.004224093314503276,8,False
EDT,"ts_window: 7, text_window: 4, ts_encoder: {'name': 'TimeSeriesTransformerModel', 'ts_window': 7, 'context_length': 1, 'prediction_length': 0, 'lags_sequence': [1, 2, 3, 4, 5, 6], 'num_features': 3}, ts_overlap: middle",0.4470552334452243,0.19697210892706804,0.56,0.10392304845413265,0.08648799976206283,0.008207880448920383,0.5570858791631483,0.19852196851532455,0.6185618561856185,0.10824830678586818,0.08779315871777414,0.010886304102301913,1,True
EDT,"ts_window: 7, text_window: 4, ts_encoder: {'name': 'TimeSeriesTransformerModel', 'ts_window': 7, 'context_length': 1, 'prediction_length': 0, 'lags_sequence': [1, 2, 3, 4, 5, 6], 'num_features': 3}, ts_overlap: start",0.5773439755098015,0.21143783825303808,0.6357001133786847,0.1176546936539893,0.07927168702898714,0.010493054124017662,0.5885471217213256,0.1537925667756671,0.6294591719849452,0.08726504308720738,0.08443395891696177,0.0014890584828369813,1,False
EDT,"ts_window: 7, text_window: 5, ts_encoder: {'name': 'TimeSeriesTransformerModel', 'ts_window': 7, 'context_length': 1, 'prediction_length': 0, 'lags_sequence': [1, 2, 3, 4, 5, 6], 'num_features': 3}, ts_overlap: middle",0.5435390437915295,0.18305478996088298,0.6073611111111111,0.09435115899502083,0.08961476448716388,0.014202261268682698,0.6504044894663092,0.03282379784238639,0.6539257287073245,0.03425503874446,0.08339290595706146,0.001081530321909267,6,True
